"Variables ->","m_L_GDP","m_L_S","m_L_CPI","m_RS","m_L_CPIXFE","m_L_CPI_RW","m_RS_RW","m_L_GDP_RW_GAP","m_REM_GDP","m_L_MB"
"Comments ->","Producto Interno Bruto real de Guatemala (desestacionalizado)","Tipo de Cambio Nominal","Indice de Precios al Consumidor","Tasa de interes de Política Monetaria","Indice de Inflación Subyacente","Indice de Precios PCE Subyacente","Tasa de Fondos Federales","Producto Interno Bruto de EEUU","Remesas como porcentaje del producto (desestacionalizado)","Base Monetaria"
"Class[Size] ->","tseries[87-by-1]","tseries[87-by-1]","tseries[87-by-1]","tseries[87-by-1]","tseries[87-by-1]","tseries[87-by-1]","tseries[87-by-1]","tseries[87-by-1]","tseries[87-by-1]","tseries[87-by-1]"
".endhist","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3"
"2001Q1",1112.48592,204.12203,342.18029,5.40000,463.68132,433.08518,5.29000,1.05143,NaN,938.94652
"2001Q2",1112.46244,205.41237,343.64045,4.98000,465.27099,433.49088,3.95000,0.96773,NaN,937.47525
"2001Q3",1112.62284,207.31719,346.06826,4.63000,467.86580,433.22848,2.75000,-0.14064,NaN,941.07474
"2001Q4",1116.14769,207.44290,348.09022,4.52000,470.13992,434.15692,1.52000,-0.57508,NaN,954.34642
"2002Q1",1115.47622,206.81278,350.91470,5.25000,473.83038,434.52330,1.74000,-0.45414,5.76943,954.84712
"2002Q2",1117.37929,206.68628,352.38558,4.39000,475.21398,435.07165,1.73000,-0.55914,6.54071,948.55297
"2002Q3",1118.47964,205.15563,352.92944,4.45000,476.38829,435.63498,1.85000,-0.87374,7.93546,945.82000
"2002Q4",1119.13995,203.47056,354.22449,2.22000,477.63298,435.91034,1.16000,-1.47511,8.31006,969.77234
"2003Q1",1119.98338,206.81278,356.52933,1.41000,480.05727,436.27674,1.38000,-1.67901,8.61561,959.51809
"2003Q2",1119.64474,206.93912,357.49511,1.10000,481.39178,436.58718,1.45000,-1.52941,9.08187,960.71279
"2003Q3",1120.67350,207.69384,358.45166,1.45000,482.37841,437.08899,1.17000,-0.61265,9.26023,958.12554
"2003Q4",1120.48810,208.31845,359.91442,1.83000,483.42308,437.53418,0.94000,-0.18871,9.64669,974.32249
"2004Q1",1121.67499,209.18641,362.88820,1.86000,485.94259,438.12013,1.05000,-0.34742,10.87023,972.06579
